,Instrument,Ultimate Parent Percent of Shares Out Held,Date,Investor Id,Investor Type Description ID,Investor Perm Id,Country of Headquarters,Fund Investment Style Code
525,ACLJ.J,,,,,,,Core Value
526,ACLJ.J,,,,,,,
527,ACLJ.J,,,,,,,
528,ACLJ.J,,,,,,,
529,ACLJ.J,,,,,,,
530,ACLJ.J,,,,,,,
531,ACLJ.J,,,,,,,
532,ACLJ.J,,,,,,,
533,ACLJ.J,,,,,,,
534,ACLJ.J,,,,,,,
535,ACLJ.J,,,,,,,
536,ACLJ.J,,,,,,,
537,ACLJ.J,,,,,,,
538,ACLJ.J,,,,,,,
539,ACLJ.J,,,,,,,
540,ACLJ.J,,,,,,,
541,ACLJ.J,,,,,,,
542,ACLJ.J,,,,,,,
543,ACLJ.J,,,,,,,
544,ACLJ.J,,,,,,,
545,ACLJ.J,,,,,,,
546,ACLJ.J,,,,,,,
547,ACTJ.J,5.369,2000-10-30T00:00:00Z,2659928,301,,South Africa,Index
548,ACTJ.J,0.799,2000-10-30T00:00:00Z,2991511,301,5043419846,,
549,ACTJ.J,0.731,2000-10-30T00:00:00Z,2637186,301,4297902883,,
550,ACTJ.J,0.313,2000-10-30T00:00:00Z,2663421,301,5055409332,,
551,ACTJ.J,0.106,2000-10-30T00:00:00Z,3248738,303,,,
552,ACTJ.J,0.104,2000-10-30T00:00:00Z,3218293,303,,,
553,ACTJ.J,0.053,2000-10-30T00:00:00Z,2659319,113,4295882969,,
554,ACTJ.J,0.0,2000-10-30T00:00:00Z,2676461,113,5000854298,,
555,ACTJ.J,0.0,2000-09-30T00:00:00Z,2448219,302,,,
556,ACTJ.J,5.3685,1999-08-31T00:00:00Z,2659928,301,,,
557,ACTJ.J,0.7988,1999-08-31T00:00:00Z,2991511,107,5043419846,,
558,ACTJ.J,0.765,1999-08-31T00:00:00Z,2637186,301,4297902883,,
559,ACTJ.J,0.2358,1999-08-31T00:00:00Z,2676461,301,5000854298,,
